基金代码,基金名称,日期,净值,近一周,近一月,近三月,近半年,近一年,今年以来,基金的详细链接
515700,平安中证新能源汽车ETF,01-26,2.3064,8.42%,13.16%,54.46%,81.46%,111.46%,10.77%,https://www.howbuy.com/fund/515700
501057,汇添富中证新能源汽车A,01-26,2.3612,8.09%,12.42%,50.39%,76.87%,109.81%,10.49%,https://www.howbuy.com/fund/501057
501058,汇添富中证新能源汽车C,01-26,2.3428,8.09%,12.39%,50.29%,76.64%,109.29%,10.47%,https://www.howbuy.com/fund/501058
159806,国泰中证新能源汽车ETF,01-26,2.2750,6.30%,9.58%,48.43%,76.53%,--,7.60%,https://www.howbuy.com/fund/159806
515030,华夏中证新能源汽车ETF,01-26,1.7843,6.23%,9.27%,47.87%,72.93%,--,7.34%,https://www.howbuy.com/fund/515030
165520,中信保诚中证800有色指数(LOF),01-26,1.4670,7.79%,12.67%,44.45%,44.87%,63.02%,13.11%,https://www.howbuy.com/fund/165520
161028,富国中证新能源汽车指数,01-26,1.1330,5.89%,8.32%,44.19%,67.27%,87.72%,6.79%,https://www.howbuy.com/fund/161028
009067,国泰中证新能源汽车ETF联接A,01-26,2.1231,6.06%,8.54%,43.48%,68.50%,--,7.32%,https://www.howbuy.com/fund/009067
009068,国泰中证新能源汽车ETF联接C,01-26,2.1182,6.05%,8.50%,43.37%,68.24%,--,7.29%,https://www.howbuy.com/fund/009068
512690,鹏华中证酒ETF,01-26,2.7459,6.89%,10.13%,41.51%,65.59%,137.72%,2.31%,https://www.howbuy.com/fund/512690
160225,国泰国证新能源汽车LOF,01-26,1.8587,5.95%,8.50%,41.32%,62.29%,88.47%,6.61%,https://www.howbuy.com/fund/160225
159967,华夏创成长ETF,01-26,0.7486,6.82%,19.95%,41.30%,40.53%,109.42%,14.57%,https://www.howbuy.com/fund/159967
161725,招商中证白酒指数,01-26,1.4599,7.08%,10.46%,40.88%,65.57%,127.30%,2.33%,https://www.howbuy.com/fund/161725
512400,南方中证申万有色金属ETF,01-26,1.1198,7.20%,9.45%,40.70%,35.88%,55.12%,9.60%,https://www.howbuy.com/fund/512400
160221,国泰国证有色金属行业指数,01-26,1.2097,6.71%,9.39%,38.76%,35.18%,52.34%,9.71%,https://www.howbuy.com/fund/160221
160632,鹏华中证酒指数(LOF),01-26,1.0910,6.54%,9.87%,38.71%,62.18%,128.99%,2.44%,https://www.howbuy.com/fund/160632
007474,华夏创成长ETF联接A,01-26,2.4920,6.56%,18.97%,38.68%,38.01%,102.17%,13.86%,https://www.howbuy.com/fund/007474
004432,南方有色金属联接A,01-26,1.1090,6.76%,9.12%,38.64%,34.41%,50.68%,9.53%,https://www.howbuy.com/fund/004432
007475,华夏创成长ETF联接C,01-26,2.4765,6.55%,18.93%,38.54%,37.73%,101.37%,13.83%,https://www.howbuy.com/fund/007475
004433,南方有色金属联接C,01-26,1.0942,6.75%,9.08%,38.51%,34.14%,50.08%,9.50%,https://www.howbuy.com/fund/004433
163209,诺安创业板指数增强(LOF)A,01-26,2.0091,5.29%,10.21%,33.84%,34.72%,76.25%,8.11%,https://www.howbuy.com/fund/163209
180003,银华-道琼斯88指数A,01-26,1.9610,6.23%,13.54%,33.10%,43.10%,71.82%,8.81%,https://www.howbuy.com/fund/180003
690008,民生中证内地资源主题指数,01-26,0.8360,4.89%,9.14%,32.91%,30.63%,32.91%,10.14%,https://www.howbuy.com/fund/690008
512770,华夏战略新兴成指ETF,01-26,2.3792,4.62%,15.38%,32.89%,36.36%,88.53%,12.08%,https://www.howbuy.com/fund/512770
161217,国投瑞银中证资源指数LOF,01-26,0.9660,4.43%,8.66%,32.15%,33.61%,44.18%,9.28%,https://www.howbuy.com/fund/161217
512580,广发中证环保ETF,01-26,1.3509,6.97%,9.55%,31.10%,45.90%,63.61%,8.90%,https://www.howbuy.com/fund/512580
163114,申万中证环保产业指数(LOF)A,01-26,1.3050,6.84%,9.77%,31.06%,43.95%,68.21%,9.10%,https://www.howbuy.com/fund/163114
159949,华安创业板50ETF,01-26,1.3859,5.79%,16.47%,30.87%,33.44%,95.22%,11.17%,https://www.howbuy.com/fund/159949
006909,华夏战略新兴成指ETF联接A,01-26,2.3855,4.41%,14.53%,30.58%,33.50%,82.10%,11.45%,https://www.howbuy.com/fund/006909
006910,华夏战略新兴成指ETF联接C,01-26,2.3738,4.40%,14.50%,30.48%,33.29%,81.55%,11.43%,https://www.howbuy.com/fund/006910
159814,西部利得创业板大盘ETF,01-26,1.3270,6.84%,16.72%,30.09%,31.70%,--,11.78%,https://www.howbuy.com/fund/159814
007464,交银创业板50指数A,01-26,2.1108,5.51%,15.63%,29.36%,32.16%,92.98%,10.61%,https://www.howbuy.com/fund/007464
007465,交银创业板50指数C,01-26,2.1011,5.50%,15.59%,29.23%,31.90%,92.21%,10.58%,https://www.howbuy.com/fund/007465
001064,广发中证环保ETF联接A,01-26,0.9837,6.61%,9.12%,29.18%,42.92%,59.61%,8.41%,https://www.howbuy.com/fund/001064
002984,广发中证环保ETF联接C,01-26,0.9730,6.61%,9.09%,29.11%,42.75%,59.27%,8.39%,https://www.howbuy.com/fund/002984
160634,鹏华中证环保产业指数(LOF),01-26,1.2720,6.62%,9.00%,28.88%,43.06%,59.75%,8.53%,https://www.howbuy.com/fund/160634
164905,交银国证新能源指数(LOF),01-26,1.1980,5.27%,5.43%,28.83%,45.94%,70.68%,5.78%,https://www.howbuy.com/fund/164905
164304,新华中证环保产业指数,01-26,1.2357,6.77%,9.55%,28.77%,43.74%,60.10%,8.97%,https://www.howbuy.com/fund/164304
009194,泰达宏利中证绩优指基A,01-26,1.3121,5.27%,13.13%,28.65%,32.23%,--,8.77%,https://www.howbuy.com/fund/009194
160420,华安创业板50指数,01-26,1.6388,5.48%,15.48%,28.57%,31.99%,88.45%,10.50%,https://www.howbuy.com/fund/160420
009195,泰达宏利中证绩优指基C,01-26,1.3093,5.27%,13.09%,28.53%,31.96%,--,8.74%,https://www.howbuy.com/fund/009195
515200,申万菱信中证研发100ETF,01-26,2.0753,3.51%,12.95%,28.34%,35.01%,81.36%,9.15%,https://www.howbuy.com/fund/515200
160422,华安创业板50ETF联接A,01-26,2.5111,5.38%,15.02%,28.02%,30.04%,83.28%,10.08%,https://www.howbuy.com/fund/160422
160424,华安创业板50ETF联接C,01-26,2.5018,5.38%,15.00%,27.94%,29.88%,82.81%,10.06%,https://www.howbuy.com/fund/160424
515650,富国中证消费50ETF,01-26,1.8105,5.51%,11.35%,27.71%,38.05%,86.38%,4.94%,https://www.howbuy.com/fund/515650
006786,泰康港股通大消费指数A,01-26,1.7082,2.71%,15.58%,27.50%,39.24%,66.20%,10.62%,https://www.howbuy.com/fund/006786
006787,泰康港股通大消费指数C,01-26,1.6959,2.70%,15.53%,27.36%,38.96%,65.53%,10.59%,https://www.howbuy.com/fund/006787
010419,申万中证环保指数(LOF)C,01-26,1.2717,6.84%,9.74%,27.17%,--,--,9.07%,https://www.howbuy.com/fund/010419
006712,前海开源MSCI中国A股消费A,01-26,2.4616,6.31%,11.53%,26.59%,35.30%,86.98%,6.00%,https://www.howbuy.com/fund/006712
006713,前海开源MSCI中国A股消费C,01-26,2.4513,6.30%,11.51%,26.53%,35.16%,86.60%,5.99%,https://www.howbuy.com/fund/006713
160222,国泰国证食品饮料行业指数,01-26,1.4166,5.46%,10.73%,26.52%,43.24%,105.30%,4.73%,https://www.howbuy.com/fund/160222
501090,华宝中证消费龙头指数(LOF)A,01-26,1.7994,4.73%,11.78%,26.47%,40.19%,90.17%,5.88%,https://www.howbuy.com/fund/501090
009329,华宝中证消费龙头指数(LOF)C,01-26,1.7966,4.72%,11.76%,26.40%,40.02%,--,5.86%,https://www.howbuy.com/fund/009329
161031,富国中证工业4.0指数,01-26,1.1690,0.78%,14.27%,26.23%,29.99%,58.52%,9.77%,https://www.howbuy.com/fund/161031
159973,弘毅远方民企领先100ETF,01-26,2.0423,4.39%,12.30%,26.15%,32.43%,72.01%,9.30%,https://www.howbuy.com/fund/159973
007983,申万菱信中证100ETF联接A,01-26,1.8760,3.26%,12.09%,26.00%,31.96%,75.26%,8.53%,https://www.howbuy.com/fund/007983
007984,申万菱信中证100ETF联接C,01-26,1.8693,3.26%,12.06%,25.90%,31.76%,74.73%,8.51%,https://www.howbuy.com/fund/007984
159987,银华中证研发创新100ETF,01-26,1.8082,3.33%,12.51%,25.74%,27.57%,59.90%,8.93%,https://www.howbuy.com/fund/159987
007737,诺德研发创新100指数,01-26,1.8951,3.43%,11.52%,25.69%,27.09%,56.65%,8.30%,https://www.howbuy.com/fund/007737
001631,天弘中证食品饮料指数A,01-26,3.6918,4.93%,9.50%,25.63%,41.23%,106.40%,3.53%,https://www.howbuy.com/fund/001631
512600,嘉实中证主要消费ETF,01-26,5.4746,5.99%,10.39%,25.62%,35.41%,92.00%,5.11%,https://www.howbuy.com/fund/512600
160223,国泰创业板指数LOF,01-26,1.5557,5.41%,14.09%,25.62%,25.80%,69.65%,9.49%,https://www.howbuy.com/fund/160223
502013,长盛中证申万一带一路指数(LOF),01-26,1.5733,3.28%,13.02%,25.58%,32.22%,44.37%,10.72%,https://www.howbuy.com/fund/502013
050024,博时上证自然资源ETF联接,01-26,0.7948,4.30%,6.34%,25.58%,24.40%,30.00%,5.76%,https://www.howbuy.com/fund/050024
001632,天弘中证食品饮料指数C,01-26,3.6474,4.93%,9.48%,25.56%,41.08%,106.00%,3.51%,https://www.howbuy.com/fund/001632
510630,华夏消费ETF,01-26,6.1669,4.95%,10.53%,25.56%,38.45%,111.96%,5.24%,https://www.howbuy.com/fund/510630
001879,长城创业板指数增强A,01-26,2.5575,5.24%,14.85%,25.48%,23.95%,79.42%,9.36%,https://www.howbuy.com/fund/001879
008975,富国中证消费50ETF联接A,01-26,1.8781,5.19%,10.36%,25.42%,34.80%,--,4.48%,https://www.howbuy.com/fund/008975
159810,浦银安盛创业板ETF,01-26,1.2831,5.63%,14.41%,25.41%,26.55%,--,9.94%,https://www.howbuy.com/fund/159810
159975,招商深证100ETF,01-26,7.8782,3.51%,13.00%,25.38%,34.42%,68.86%,8.52%,https://www.howbuy.com/fund/159975
006928,长城创业板指数增强C,01-26,2.5281,5.24%,14.82%,25.38%,23.76%,78.88%,9.33%,https://www.howbuy.com/fund/006928
161613,融通创业板指数A,01-26,1.5150,5.57%,14.52%,25.31%,25.81%,68.83%,9.80%,https://www.howbuy.com/fund/161613
008976,富国中证消费50ETF联接C,01-26,1.8717,5.18%,10.33%,25.30%,34.54%,--,4.45%,https://www.howbuy.com/fund/008976
004870,融通创业板指数C,01-26,1.4400,5.57%,14.48%,25.20%,25.60%,68.24%,9.70%,https://www.howbuy.com/fund/004870
159957,华夏创业板ETF,01-26,1.9837,5.66%,14.66%,25.19%,26.74%,73.69%,9.87%,https://www.howbuy.com/fund/159957
512670,鹏华中证国防ETF,01-26,2.0249,-2.29%,4.47%,25.19%,30.96%,83.65%,-2.05%,https://www.howbuy.com/fund/512670
510150,招商上证消费80ETF,01-26,10.5503,5.31%,9.41%,25.16%,35.09%,90.44%,5.55%,https://www.howbuy.com/fund/510150
009116,东兴中证消费50指数A,01-26,1.6812,5.21%,10.79%,25.04%,33.95%,--,4.83%,https://www.howbuy.com/fund/009116
009117,东兴中证消费50指数C,01-26,1.6798,5.20%,10.78%,25.01%,33.87%,--,4.82%,https://www.howbuy.com/fund/009117
512710,富国中证军工龙头ETF,01-26,1.8201,-2.41%,7.36%,24.95%,30.14%,71.76%,0.44%,https://www.howbuy.com/fund/512710
159977,天弘创业板ETF,01-26,3.2797,5.64%,14.69%,24.85%,24.56%,70.37%,9.84%,https://www.howbuy.com/fund/159977
512170,华宝中证医疗ETF,01-26,2.6874,10.61%,16.41%,24.83%,26.89%,100.84%,14.01%,https://www.howbuy.com/fund/512170
159964,平安创业板ETF,01-26,1.9668,5.59%,14.62%,24.82%,25.39%,71.41%,9.79%,https://www.howbuy.com/fund/159964
006341,中金MSCI质量指数A,01-26,2.8927,4.26%,9.65%,24.79%,36.10%,83.37%,5.94%,https://www.howbuy.com/fund/006341
006342,中金MSCI质量指数C,01-26,2.8840,4.25%,9.62%,24.71%,35.92%,82.90%,5.92%,https://www.howbuy.com/fund/006342
159948,南方创业板ETF,01-26,3.4400,5.63%,14.70%,24.70%,24.80%,70.73%,9.82%,https://www.howbuy.com/fund/159948
159956,建信创业板ETF,01-26,1.8915,5.65%,14.65%,24.53%,26.61%,72.22%,9.81%,https://www.howbuy.com/fund/159956
159915,易方达创业板ETF,01-26,3.1466,5.61%,14.61%,24.47%,23.90%,69.71%,9.78%,https://www.howbuy.com/fund/159915
159808,融通创业板ETF,01-26,1.2203,5.67%,14.63%,24.34%,--,--,9.83%,https://www.howbuy.com/fund/159808
009046,西藏东财创业板指数A,01-26,1.7454,5.42%,14.09%,24.28%,25.27%,--,9.46%,https://www.howbuy.com/fund/009046
007664,永赢创业板指数A,01-26,1.9474,5.46%,14.16%,24.26%,27.27%,73.70%,9.61%,https://www.howbuy.com/fund/007664
160630,鹏华中证国防指数(LOF),01-26,1.3560,-2.45%,4.07%,24.25%,27.11%,77.37%,-2.02%,https://www.howbuy.com/fund/160630
159952,广发创业板ETF,01-26,1.8902,5.52%,14.25%,24.23%,24.28%,70.10%,9.54%,https://www.howbuy.com/fund/159952
007665,永赢创业板指数C,01-26,1.9450,5.46%,14.14%,24.23%,27.22%,73.52%,9.61%,https://www.howbuy.com/fund/007665
009047,西藏东财创业板指数C,01-26,1.7416,5.40%,14.06%,24.20%,25.11%,--,9.44%,https://www.howbuy.com/fund/009047
159958,工银创业板指数ETF,01-26,1.8898,5.58%,14.47%,24.12%,23.66%,68.27%,9.68%,https://www.howbuy.com/fund/159958
159955,嘉实创业板ETF,01-26,1.7591,5.64%,14.35%,24.11%,23.83%,69.76%,9.83%,https://www.howbuy.com/fund/159955
008519,中金中证沪港深消费50指A,01-26,1.6264,4.83%,11.13%,24.10%,41.34%,--,5.93%,https://www.howbuy.com/fund/008519
502056,广发中证医疗指数(LOF)A,01-26,1.6471,10.79%,16.26%,24.06%,26.16%,90.54%,14.10%,https://www.howbuy.com/fund/502056
008520,中金中证沪港深消费50指C,01-26,1.6236,4.82%,11.11%,24.01%,41.16%,--,5.91%,https://www.howbuy.com/fund/008520
009881,广发中证医疗指数(LOF)C,01-26,1.6460,10.78%,16.24%,23.98%,--,--,14.09%,https://www.howbuy.com/fund/009881
159901,易方达深证100ETF,01-26,8.5053,3.42%,12.80%,23.79%,29.82%,62.74%,8.38%,https://www.howbuy.com/fund/159901
006248,华夏创业板ETF联接A,01-26,2.2124,5.36%,13.87%,23.76%,25.07%,68.96%,9.34%,https://www.howbuy.com/fund/006248
009179,嘉实中证消费ETF联接A,01-26,1.6039,5.69%,9.59%,23.69%,31.93%,--,4.92%,https://www.howbuy.com/fund/009179
217017,招商上证消费80ETF联接A,01-26,3.1838,5.06%,8.90%,23.69%,32.94%,83.98%,5.28%,https://www.howbuy.com/fund/217017
006249,华夏创业板ETF联接C,01-26,2.1963,5.35%,13.84%,23.67%,24.87%,68.45%,9.32%,https://www.howbuy.com/fund/006249
585001,东吴中证新兴产业指数,01-26,1.9039,2.43%,11.73%,23.66%,26.04%,56.70%,8.88%,https://www.howbuy.com/fund/585001
009180,嘉实中证消费ETF联接C,01-26,1.6015,5.69%,9.58%,23.63%,31.80%,--,4.91%,https://www.howbuy.com/fund/009180
162412,华宝中证医疗指数,01-26,1.4934,10.30%,15.82%,23.60%,25.90%,93.16%,13.51%,https://www.howbuy.com/fund/162412
004407,招商上证消费80ETF联接C,01-26,3.1310,5.05%,8.86%,23.56%,32.66%,83.25%,5.25%,https://www.howbuy.com/fund/004407
159971,富国创业板ETF,01-26,2.2079,5.47%,14.04%,23.52%,22.61%,66.84%,9.25%,https://www.howbuy.com/fund/159971
001592,天弘创业板ETF联接A,01-26,1.2758,5.40%,14.05%,23.52%,23.43%,66.31%,9.44%,https://www.howbuy.com/fund/001592
008056,南方上证50增强A,01-26,1.5825,2.74%,11.34%,23.51%,33.39%,--,7.05%,https://www.howbuy.com/fund/008056
001593,天弘创业板ETF联接C,01-26,1.2567,5.39%,14.03%,23.45%,23.30%,65.97%,9.42%,https://www.howbuy.com/fund/001593
004788,富荣沪深300指数增强A,01-26,2.0464,3.58%,10.86%,23.43%,37.03%,97.17%,5.56%,https://www.howbuy.com/fund/004788
002656,南方创业板ETF联接A,01-26,1.5771,5.32%,13.99%,23.43%,24.17%,67.79%,9.35%,https://www.howbuy.com/fund/002656
004789,富荣沪深300指数增强C,01-26,2.0397,3.58%,10.85%,23.41%,36.97%,96.96%,5.55%,https://www.howbuy.com/fund/004789
008057,南方上证50增强C,01-26,1.5777,2.73%,11.30%,23.38%,33.13%,--,7.02%,https://www.howbuy.com/fund/008057
160643,鹏华空天军工指数(LOF)A,01-26,1.5279,-2.27%,3.01%,23.37%,26.02%,77.87%,-3.05%,https://www.howbuy.com/fund/160643
217016,招商深证100指数A,01-26,2.4966,3.31%,12.31%,23.36%,31.14%,61.83%,8.08%,https://www.howbuy.com/fund/217016
159970,工银瑞信深证100ETF,01-26,7.2623,3.33%,12.57%,23.33%,28.90%,59.78%,8.20%,https://www.howbuy.com/fund/159970
004343,南方创业板ETF联接C,01-26,1.5849,5.31%,13.95%,23.31%,23.92%,67.13%,9.33%,https://www.howbuy.com/fund/004343
010183,南方创业板ETF联接E,01-26,1.5750,5.31%,13.95%,23.31%,--,--,9.32%,https://www.howbuy.com/fund/010183
050021,博时创业板ETF联接A,01-26,2.6440,5.37%,13.96%,23.30%,24.66%,67.54%,9.33%,https://www.howbuy.com/fund/050021
006733,博时创业板ETF联接C,01-26,2.6426,5.37%,13.95%,23.30%,24.65%,67.50%,9.33%,https://www.howbuy.com/fund/006733
159969,银华深证100ETF,01-26,1.8357,3.33%,12.51%,23.25%,28.87%,59.78%,8.19%,https://www.howbuy.com/fund/159969
004408,招商深证100指数C,01-26,2.4639,3.30%,12.27%,23.24%,30.87%,61.18%,8.05%,https://www.howbuy.com/fund/004408
005137,长信沪深300指数增强A,01-26,1.7204,2.00%,11.06%,23.18%,28.12%,55.97%,7.30%,https://www.howbuy.com/fund/005137
006020,广发沪深300指数增强A,01-26,2.0348,2.31%,11.69%,23.15%,32.22%,60.79%,7.68%,https://www.howbuy.com/fund/006020
160637,鹏华创业板指数(LOF),01-26,1.3930,5.37%,13.81%,23.12%,25.66%,67.84%,9.25%,https://www.howbuy.com/fund/160637
008236,招商深证100ETF联接A,01-26,1.3925,3.13%,11.88%,23.12%,31.01%,--,7.82%,https://www.howbuy.com/fund/008236
009012,平安创业板ETF联接A,01-26,1.6271,5.09%,13.72%,23.11%,24.03%,--,9.16%,https://www.howbuy.com/fund/009012
008592,天弘沪深300指数增强A,01-26,1.5221,2.55%,12.60%,23.09%,28.83%,52.97%,8.57%,https://www.howbuy.com/fund/008592
007448,长信沪深300指数增强C,01-26,1.7059,1.99%,11.02%,23.06%,27.86%,55.35%,7.26%,https://www.howbuy.com/fund/007448
008237,招商深证100ETF联接C,01-26,1.4134,3.13%,11.86%,23.04%,30.85%,--,7.80%,https://www.howbuy.com/fund/008237
006021,广发沪深300指数增强C,01-26,2.0165,2.31%,11.65%,23.03%,31.96%,60.15%,7.64%,https://www.howbuy.com/fund/006021
161812,银华深证100指数(LOF),01-26,1.6720,4.30%,11.91%,23.03%,27.93%,59.09%,7.59%,https://www.howbuy.com/fund/161812
110026,易方达创业板ETF联接A,01-26,3.2434,5.32%,13.79%,23.01%,22.76%,63.92%,9.26%,https://www.howbuy.com/fund/110026
