基金代码,基金名称,日期,净值,近一周,近一月,近三月,近半年,近一年,今年以来,基金的详细链接
470014,汇添富理财14天债券A,01-26,1.0168,0.00%,0.12%,0.39%,0.58%,1.32%,0.06%,https://www.howbuy.com/fund/470014
471014,汇添富理财14天债券B,01-26,1.0376,0.01%,0.14%,0.46%,0.74%,3.37%,0.08%,https://www.howbuy.com/fund/471014
001497,大成月添利债券E,01-26,1.0328,0.02%,0.19%,0.51%,1.06%,--,0.11%,https://www.howbuy.com/fund/001497
530030,建信周盈安心理财债券A,01-26,1.0017,0.00%,--,--,--,--,0.12%,https://www.howbuy.com/fund/530030
001693,招商招利1个月期理财债券C,01-26,1.0199,0.00%,0.20%,0.67%,1.26%,--,0.13%,https://www.howbuy.com/fund/001693
217025,招商理财7天债券A,01-26,1.0140,-0.01%,0.22%,0.61%,1.21%,--,0.13%,https://www.howbuy.com/fund/217025
000809,招商招利1个月期理财债券B,01-26,1.0199,0.00%,0.20%,0.67%,1.26%,--,0.14%,https://www.howbuy.com/fund/000809
000808,招商招利1个月期理财债券A,01-26,1.0199,0.00%,0.20%,0.67%,1.27%,--,0.14%,https://www.howbuy.com/fund/000808
531030,建信周盈安心理财债券B,01-26,1.0019,0.01%,--,--,--,--,0.14%,https://www.howbuy.com/fund/531030
202305,南方理财60天债券A,01-26,1.0033,0.03%,0.24%,--,--,--,0.18%,https://www.howbuy.com/fund/202305
202306,南方理财60天债券B,01-26,1.0037,0.04%,0.27%,--,--,--,0.20%,https://www.howbuy.com/fund/202306
003879,嘉实6个月理财债券A,01-25,1.0601,-0.01%,0.00%,--,--,--,0.00%,https://www.howbuy.com/fund/003879
004356,嘉实6个月理财债券E,01-25,1.0003,0.00%,0.02%,--,--,--,0.01%,https://www.howbuy.com/fund/004356
485118,工银7天理财债券A,01-25,1.0236,0.01%,0.26%,0.76%,1.78%,--,0.17%,https://www.howbuy.com/fund/485118
531014,建信双周理财B,01-20,<span class="cRed">4.05%</span>,0.08%,0.26%,0.67%,1.19%,2.30%,0.17%,https://www.howbuy.com/fund/531014
485018,工银7天理财债券B,01-19,1.0234,-0.00%,0.50%,0.58%,1.72%,--,0.15%,https://www.howbuy.com/fund/485018
217026,招商理财7天债券B,01-06,1.0135,1.20%,1.20%,1.20%,1.20%,--,0.08%,https://www.howbuy.com/fund/217026
005100,易方达掌柜季季盈理财债C,12-27,<span class="cRed">4.19%</span>,0.08%,0.41%,0.98%,1.92%,3.21%,3.18%,https://www.howbuy.com/fund/005100
070035,嘉实理财宝7天债券A,12-18,<span class="cRed">0.09%</span>,0.00%,0.01%,0.26%,0.63%,1.76%,1.67%,https://www.howbuy.com/fund/070035
003881,嘉实定期宝6个月理财债券B,12-08,<span class="cRed">1.23%</span>,0.02%,0.14%,0.41%,0.76%,2.52%,2.35%,https://www.howbuy.com/fund/003881
070036,嘉实理财宝7天债券B,11-08,<span class="cRed">1.70%</span>,0.03%,0.16%,0.47%,0.93%,2.29%,1.89%,https://www.howbuy.com/fund/070036
471007,汇添富理财7天债券A,10-29,1.0029,0.00%,0.08%,0.11%,0.01%,--,0.92%,https://www.howbuy.com/fund/471007
380007,中银理财7天债券A,10-15,<span class="cRed">1.95%</span>,0.04%,0.20%,0.41%,0.84%,2.10%,1.53%,https://www.howbuy.com/fund/380007
380008,中银理财7天债券B,10-15,<span class="cRed">1.95%</span>,0.04%,0.20%,0.45%,0.96%,2.37%,1.73%,https://www.howbuy.com/fund/380008
004664,国富日鑫月益30天债券B,10-13,<span class="cRed">4.54%</span>,0.09%,0.24%,0.44%,0.96%,2.32%,1.70%,https://www.howbuy.com/fund/004664
004663,国富日鑫月益30天债券A,10-13,<span class="cRed">4.25%</span>,0.08%,0.22%,0.38%,0.84%,2.06%,1.50%,https://www.howbuy.com/fund/004663
270047,广发理财30天债券B,09-24,<span class="cRed">2.00%</span>,0.04%,0.20%,0.56%,1.07%,2.46%,1.71%,https://www.howbuy.com/fund/270047
471030,汇添富理财30天债券B,08-18,<span class="cRed">2.52%</span>,0.05%,0.19%,0.56%,1.22%,2.71%,1.61%,https://www.howbuy.com/fund/471030
519716,交银理财21天债券A,07-27,<span class="cRed">5.67%</span>,0.11%,0.25%,0.52%,1.14%,2.49%,1.30%,https://www.howbuy.com/fund/519716
519721,交银理财60天债券A,07-27,<span class="cRed">3.57%</span>,0.07%,0.26%,0.53%,1.12%,2.39%,1.27%,https://www.howbuy.com/fund/519721
202304,南方理财14天B,06-15,<span class="cRed">4.23%</span>,0.08%,0.18%,0.61%,1.35%,2.80%,1.17%,https://www.howbuy.com/fund/202304
202303,南方理财14天A,06-15,<span class="cRed">3.91%</span>,0.07%,0.16%,0.54%,1.20%,2.49%,1.03%,https://www.howbuy.com/fund/202303
531029,建信双月安心理财债券B,05-06,<span class="cRed">1.39%</span>,0.03%,0.14%,0.52%,1.19%,2.56%,0.79%,https://www.howbuy.com/fund/531029
000038,广发理财7天债券B,04-21,<span class="cRed">2.82%</span>,0.05%,0.30%,0.74%,1.50%,3.03%,0.91%,https://www.howbuy.com/fund/000038
360020,光大添天盈月度理财债券B,03-08,<span class="cRed">2.77%</span>,0.05%,0.23%,0.74%,1.38%,2.84%,0.52%,https://www.howbuy.com/fund/360020
690212,民生家盈理财7天债券B,03-02,<span class="cRed">3.93%</span>,0.07%,0.25%,0.79%,1.45%,2.94%,0.57%,https://www.howbuy.com/fund/690212
380001,中银理财14天债券A,12-25,<span class="cRed">2.27%</span>,0.04%,0.22%,0.68%,1.33%,2.71%,2.66%,https://www.howbuy.com/fund/380001
380002,中银理财14天债券B,12-25,<span class="cRed">2.27%</span>,0.04%,0.22%,0.72%,1.44%,2.97%,2.91%,https://www.howbuy.com/fund/380002
660116,农银7天理财债券B,12-03,<span class="">0.00%</span>,0.00%,0.00%,0.00%,0.05%,1.32%,1.04%,https://www.howbuy.com/fund/660116
000323,农银14天理财债券B,12-03,<span class="">0.00%</span>,0.00%,0.00%,0.00%,0.13%,1.71%,1.43%,https://www.howbuy.com/fund/000323
040031,华安季季鑫短期理财债券B,09-18,<span class="cRed">2.97%</span>,0.06%,0.34%,0.84%,1.57%,3.76%,2.69%,https://www.howbuy.com/fund/040031
040030,华安季季鑫短期理财债券A,09-18,<span class="cRed">2.70%</span>,0.05%,0.31%,0.78%,1.46%,3.51%,2.52%,https://www.howbuy.com/fund/040030
000485,嘉实1个月理财债券A,07-22,<span class="">--</span>,0.11%,0.35%,0.37%,0.37%,1.22%,0.58%,https://www.howbuy.com/fund/000485
000486,嘉实1个月理财债券E,07-22,<span class="">--</span>,0.12%,0.37%,0.39%,0.39%,1.28%,0.61%,https://www.howbuy.com/fund/000486
040034,华安月安鑫短期理财债券B,07-18,<span class="cRed">2.31%</span>,0.04%,0.14%,0.31%,0.70%,1.89%,0.94%,https://www.howbuy.com/fund/040034
040029,华安月月鑫短期理财债券B,07-18,<span class="cRed">2.13%</span>,0.04%,0.24%,0.59%,1.23%,3.22%,1.55%,https://www.howbuy.com/fund/040029
