基金代码,基金名称,日期,净值,近一周,近一月,近三月,近半年,近一年,今年以来,基金的详细链接
001045,华夏可转债增强债券A,01-26,1.6990,0.83%,11.12%,23.92%,30.29%,49.04%,7.46%,https://www.howbuy.com/fund/001045
006030,南方昌元可转债债券A,01-26,1.5415,1.60%,8.52%,23.59%,33.65%,51.65%,5.80%,https://www.howbuy.com/fund/006030
006031,南方昌元可转债债券C,01-26,1.5256,1.59%,8.47%,23.43%,33.32%,50.90%,5.76%,https://www.howbuy.com/fund/006031
000536,前海开源可转债债券,01-26,1.1290,3.77%,8.56%,21.53%,21.79%,31.43%,6.41%,https://www.howbuy.com/fund/000536
675011,西部利得稳健双利债券A,01-26,1.5600,5.48%,12.15%,20.46%,22.45%,30.65%,10.56%,https://www.howbuy.com/fund/675011
005461,南方希元可转债债券,01-26,1.7025,1.69%,8.20%,20.45%,23.68%,37.49%,5.84%,https://www.howbuy.com/fund/005461
675013,西部利得稳健双利债券C,01-26,1.5410,5.48%,12.07%,20.39%,22.20%,30.15%,10.55%,https://www.howbuy.com/fund/675013
000297,鹏华可转债债券A,01-26,1.4740,2.79%,8.62%,18.97%,20.74%,44.28%,6.66%,https://www.howbuy.com/fund/000297
310518,申万菱信可转债债券,01-26,1.8830,5.55%,12.96%,17.76%,16.16%,30.95%,9.48%,https://www.howbuy.com/fund/310518
720003,财通收益增强债券A,01-26,1.4279,3.54%,7.60%,17.59%,19.47%,30.01%,5.92%,https://www.howbuy.com/fund/720003
003204,财通收益增强债券C,01-26,1.3585,3.53%,7.56%,17.48%,19.24%,29.49%,5.88%,https://www.howbuy.com/fund/003204
006482,广发可转债债券A,01-26,1.5741,2.43%,10.01%,17.04%,20.24%,37.36%,6.09%,https://www.howbuy.com/fund/006482
006483,广发可转债债券C,01-26,1.5971,2.42%,9.96%,16.92%,19.99%,36.80%,6.06%,https://www.howbuy.com/fund/006483
210014,金鹰元丰债券,01-26,1.5892,2.23%,3.75%,15.68%,15.82%,34.09%,2.98%,https://www.howbuy.com/fund/210014
005273,华商可转债债券A,01-26,1.4384,0.78%,7.27%,14.94%,18.24%,31.95%,5.39%,https://www.howbuy.com/fund/005273
001751,华商信用增强债券A,01-26,1.0950,0.46%,4.68%,14.90%,18.00%,23.45%,2.72%,https://www.howbuy.com/fund/001751
