基金代码,基金名称,日期,净值,近一周,近一月,近三月,近半年,近一年,今年以来,基金的详细链接
161124,易方达恒生综合小型股A,01-26,1.4053,2.32%,14.74%,24.08%,13.85%,24.12%,11.69%,https://www.howbuy.com/fund/161124
006263,易方达恒生综合小型股C,01-26,1.3997,2.32%,14.73%,24.02%,13.73%,24.09%,11.68%,https://www.howbuy.com/fund/006263
501021,华宝香港中小盘(QDII)A,01-26,1.8833,-0.37%,13.10%,21.90%,19.31%,25.86%,8.15%,https://www.howbuy.com/fund/501021
006127,华宝香港中小盘(QDII)C,01-26,1.8672,-0.37%,13.06%,21.78%,19.05%,25.42%,8.12%,https://www.howbuy.com/fund/006127
513000,易方达日兴资管日经225ETF,01-26,1.3178,-0.45%,6.15%,19.02%,19.83%,19.75%,2.65%,https://www.howbuy.com/fund/513000
513520,华夏野村日经225ETF(QDII),01-26,1.3112,-0.40%,6.06%,18.69%,18.84%,19.50%,2.13%,https://www.howbuy.com/fund/513520
513880,华安日经225ETF(QDII),01-26,1.2721,-0.31%,5.92%,18.42%,19.02%,17.89%,2.49%,https://www.howbuy.com/fund/513880
008972,大成恒生中小股(QDII-LOF)C,01-26,1.2040,0.50%,10.36%,16.89%,15.99%,--,7.40%,https://www.howbuy.com/fund/008972
000075,华夏恒生ETF联接A现汇QDII,01-26,0.2402,-0.95%,10.64%,16.89%,18.73%,7.57%,7.42%,https://www.howbuy.com/fund/000075
160922,大成恒生中小股(QDII-LOF)A,01-26,1.2050,0.42%,10.35%,16.88%,16.09%,16.88%,7.30%,https://www.howbuy.com/fund/160922
513600,南方恒指ETF(QDII),01-26,2.7517,-0.69%,11.25%,16.64%,12.14%,3.31%,7.91%,https://www.howbuy.com/fund/513600
513660,华夏沪港通恒生ETF(QDII),01-26,2.7871,-0.76%,10.64%,16.28%,12.34%,5.35%,7.45%,https://www.howbuy.com/fund/513660
110032,恒生中国企业ETF联接A现汇,01-26,0.1933,-0.21%,11.54%,14.38%,15.13%,8.84%,8.53%,https://www.howbuy.com/fund/110032
110033,恒生中国企业ETF联接A现钞,01-26,0.1933,-0.21%,11.54%,14.38%,15.13%,8.84%,8.53%,https://www.howbuy.com/fund/110033
159920,恒生ETF(QDII),01-26,1.5349,-0.96%,10.42%,14.37%,10.62%,0.85%,7.17%,https://www.howbuy.com/fund/159920
000071,华夏恒生ETF联接(QDII)A,01-26,1.5579,-0.97%,9.85%,13.61%,10.12%,1.28%,6.77%,https://www.howbuy.com/fund/000071
006381,华夏恒生ETF联接(QDII)C,01-26,1.5480,-0.97%,9.83%,13.51%,9.95%,0.97%,6.74%,https://www.howbuy.com/fund/006381
160924,大成恒生指数(QDII-LOF),01-26,1.0340,-0.77%,9.65%,13.25%,8.61%,1.17%,6.82%,https://www.howbuy.com/fund/160924
513800,南方顶峰TOPIXETF(QDII),01-26,1.1947,-0.36%,3.33%,12.10%,13.16%,8.45%,0.89%,https://www.howbuy.com/fund/513800
510900,易方达恒生中国企业ETF,01-26,1.2662,-0.40%,11.14%,11.87%,7.36%,2.72%,8.14%,https://www.howbuy.com/fund/510900
161831,银华恒生国企指数(QDII-LOF),01-26,0.9985,0.06%,11.01%,11.62%,8.21%,4.51%,7.97%,https://www.howbuy.com/fund/161831
160717,嘉实H股指数QDII-LOF,01-26,0.8687,-0.53%,10.34%,11.20%,7.09%,1.71%,7.55%,https://www.howbuy.com/fund/160717
110031,易方达恒生国企联接QDIIA,01-26,1.2536,-0.26%,10.70%,11.14%,6.74%,2.49%,7.86%,https://www.howbuy.com/fund/110031
005675,易方达恒生中国企业联接C,01-26,1.2712,-0.27%,10.67%,11.07%,6.60%,2.24%,7.83%,https://www.howbuy.com/fund/005675
164705,汇添富恒生指数(QDII-LOF)A,01-26,1.1536,-0.85%,9.28%,10.60%,6.13%,-2.65%,6.24%,https://www.howbuy.com/fund/164705
159823,嘉实H股50ETF(QDII),01-26,1.1153,-0.24%,10.49%,10.27%,--,--,7.82%,https://www.howbuy.com/fund/159823
010789,汇添富恒生指数(QDII-LOF)C,01-26,1.1538,-0.83%,9.30%,--,--,--,6.27%,https://www.howbuy.com/fund/010789
005534,华夏新时代混合QDII,01-25,2.5874,7.59%,23.07%,49.25%,61.40%,131.06%,19.49%,https://www.howbuy.com/fund/005534
001481,华宝油气(QDII-LOF)A美元,01-25,0.0510,-2.11%,13.84%,47.83%,28.14%,-3.04%,14.86%,https://www.howbuy.com/fund/001481
002891,华夏移动互联混合QDII,01-25,3.1330,8.11%,25.37%,44.85%,53.96%,107.21%,18.67%,https://www.howbuy.com/fund/002891
162411,华宝标普油气上游(QDII-LOF)A,01-25,0.3309,-2.10%,13.09%,43.99%,18.86%,-8.64%,14.14%,https://www.howbuy.com/fund/162411
007844,华宝标普油气上游(QDII-LOF)C,01-25,0.3296,-2.11%,13.03%,43.80%,18.65%,-9.03%,14.13%,https://www.howbuy.com/fund/007844
002379,工银香港中小盘股票QDII,01-25,2.3970,6.96%,19.31%,43.53%,50.75%,80.50%,15.41%,https://www.howbuy.com/fund/002379
009108,富国红利精选混合QDII,01-25,1.8961,9.25%,25.87%,41.37%,50.36%,--,20.95%,https://www.howbuy.com/fund/009108
270023,广发全球精选股票QDII,01-25,3.9930,8.77%,24.59%,41.10%,51.14%,134.06%,19.98%,https://www.howbuy.com/fund/270023
162719,广发道琼斯石油指数A,01-25,0.8386,-2.70%,9.98%,38.73%,12.82%,-5.40%,9.76%,https://www.howbuy.com/fund/162719
004243,广发道琼斯石油指数C,01-25,0.8434,-2.71%,9.93%,38.53%,12.51%,-5.80%,9.73%,https://www.howbuy.com/fund/004243
001691,南方香港成长混合QDII,01-25,2.6470,11.36%,19.34%,38.01%,49.55%,124.89%,16.05%,https://www.howbuy.com/fund/001691
007455,富国蓝筹精选股票QDII,01-25,2.7229,8.82%,22.32%,37.47%,43.22%,110.67%,18.51%,https://www.howbuy.com/fund/007455
262001,景顺长城大中华混合QDII,01-25,2.8070,7.96%,21.88%,36.99%,38.75%,89.88%,18.29%,https://www.howbuy.com/fund/262001
006370,国富大中华混合美元QDII,01-25,0.4665,7.59%,22.12%,36.60%,53.40%,100.30%,18.82%,https://www.howbuy.com/fund/006370
006310,添富全球消费混合QDII美元,01-25,3.2942,7.44%,18.13%,35.67%,47.09%,123.55%,12.55%,https://www.howbuy.com/fund/006310
003243,上投摩根中国世纪混合QDII,01-25,2.6219,8.86%,22.96%,34.87%,40.36%,79.09%,18.20%,https://www.howbuy.com/fund/003243
006792,鹏华港美互联股票美元现汇,01-25,0.2506,10.84%,22.54%,34.85%,44.80%,76.15%,18.49%,https://www.howbuy.com/fund/006792
006374,国富科技互联混合美元现汇,01-25,2.6517,7.18%,18.25%,34.29%,44.84%,79.78%,16.02%,https://www.howbuy.com/fund/006374
008253,华宝致远混合(QDII)A,01-25,1.5578,8.64%,20.54%,33.98%,35.44%,58.33%,15.73%,https://www.howbuy.com/fund/008253
008254,华宝致远混合(QDII)C,01-25,1.5505,8.63%,20.51%,33.87%,35.16%,57.65%,15.70%,https://www.howbuy.com/fund/008254
