基金代码,基金名称,日期,净值,近一周,近一月,近三月,近半年,近一年,今年以来,基金的详细链接
000645,华夏薪金宝货币,01-26,<span class="cRed">4.13%</span>,0.08%,0.23%,0.60%,1.05%,2.07%,0.20%,https://www.howbuy.com/fund/000645
003399,太平日日金货币B,01-26,<span class="cRed">3.57%</span>,0.07%,0.23%,0.66%,1.24%,2.10%,0.19%,https://www.howbuy.com/fund/003399
009589,汇添富现金宝货币C,01-26,<span class="cRed">3.38%</span>,0.06%,0.25%,0.68%,1.24%,--,0.21%,https://www.howbuy.com/fund/009589
003398,太平日日金货币A,01-26,<span class="cRed">3.33%</span>,0.06%,0.21%,0.60%,1.10%,1.85%,0.17%,https://www.howbuy.com/fund/003398
009588,汇添富现金宝货币B,01-26,<span class="cRed">3.28%</span>,0.06%,0.24%,0.66%,1.19%,--,0.20%,https://www.howbuy.com/fund/009588
070088,嘉实货币B,01-26,<span class="cRed">3.25%</span>,0.06%,0.22%,0.61%,1.12%,2.18%,0.18%,https://www.howbuy.com/fund/070088
004186,江信增利货币B,01-26,<span class="cRed">3.13%</span>,0.06%,0.26%,0.75%,1.49%,2.49%,0.22%,https://www.howbuy.com/fund/004186
000330,汇添富现金宝货币A,01-26,<span class="cRed">3.13%</span>,0.06%,0.22%,0.62%,1.12%,2.16%,0.19%,https://www.howbuy.com/fund/000330
003589,东吴增鑫宝货币B,01-26,<span class="cRed">3.12%</span>,0.06%,0.21%,0.65%,1.19%,2.14%,0.18%,https://www.howbuy.com/fund/003589
690210,民生加银现金增利货币B,01-26,<span class="cRed">3.10%</span>,0.06%,0.20%,0.58%,1.10%,2.11%,0.17%,https://www.howbuy.com/fund/690210
003185,建信货币B,01-26,<span class="cRed">3.08%</span>,0.06%,0.23%,0.66%,1.21%,2.39%,0.19%,https://www.howbuy.com/fund/003185
161615,融通易支付货币B,01-26,<span class="cRed">3.06%</span>,0.06%,0.23%,0.64%,1.23%,2.32%,0.19%,https://www.howbuy.com/fund/161615
