基金代码,基金名称,日期,净值,近一周,近一月,近三月,近半年,近一年,今年以来,基金的详细链接
008412,长盛竞争优势股票A,01-26,1.1663,7.87%,10.29%,20.06%,16.63%,--,6.21%,https://www.howbuy.com/fund/008412
003230,创金合信医疗保健股票A,01-26,3.3113,8.55%,12.19%,19.93%,17.74%,92.84%,11.41%,https://www.howbuy.com/fund/003230
008413,长盛竞争优势股票C,01-26,1.1615,7.86%,10.21%,19.83%,16.15%,--,6.15%,https://www.howbuy.com/fund/008413
003231,创金合信医疗保健股票C,01-26,3.2736,8.54%,12.12%,19.72%,17.32%,91.49%,11.35%,https://www.howbuy.com/fund/003231
001651,工银新蓝筹股票,01-26,2.7660,2.22%,10.07%,19.69%,34.60%,78.91%,7.33%,https://www.howbuy.com/fund/001651
001421,南方量化成长股票,01-26,1.6190,3.52%,6.65%,19.66%,22.00%,46.38%,2.99%,https://www.howbuy.com/fund/001421
000925,汇添富外延增长主题股票A,01-26,1.8490,5.54%,11.25%,19.60%,20.53%,77.28%,7.75%,https://www.howbuy.com/fund/000925
004716,信诚量化阿尔法股票,01-26,1.7866,1.14%,10.05%,19.52%,29.26%,57.77%,6.35%,https://www.howbuy.com/fund/004716
005310,广发电子信息传媒股票A,01-26,1.9615,1.81%,15.10%,19.50%,13.68%,50.38%,10.14%,https://www.howbuy.com/fund/005310
005161,华商上游产业股票,01-26,1.6450,2.24%,4.54%,19.50%,19.48%,57.72%,2.55%,https://www.howbuy.com/fund/005161
001528,诺安先进制造股票,01-26,2.5710,3.05%,12.71%,19.41%,34.75%,58.41%,9.59%,https://www.howbuy.com/fund/001528
009601,招商科技动力3个月股票A,01-26,1.1946,7.39%,16.16%,19.40%,--,--,12.02%,https://www.howbuy.com/fund/009601
010236,广发电子信息传媒股票C,01-26,1.9609,1.80%,15.07%,19.39%,--,--,10.11%,https://www.howbuy.com/fund/010236
001396,建信互联网+产业升级股票,01-26,1.3740,3.39%,12.25%,19.37%,33.66%,62.22%,7.76%,https://www.howbuy.com/fund/001396
001576,国泰智能装备股票A,01-26,2.6040,4.33%,5.72%,19.34%,45.88%,85.47%,4.79%,https://www.howbuy.com/fund/001576
001036,嘉实企业变革股票,01-26,1.8890,3.68%,11.97%,19.33%,25.77%,53.70%,7.03%,https://www.howbuy.com/fund/001036
009602,招商科技动力3个月股票C,01-26,1.1911,7.37%,16.07%,19.16%,--,--,11.97%,https://www.howbuy.com/fund/009602
009550,汇添富开放中国优势6个月股票A,01-26,1.2151,2.52%,10.02%,19.15%,22.58%,--,6.40%,https://www.howbuy.com/fund/009550
001628,招商体育文化休闲股票,01-26,1.5990,6.39%,13.97%,19.15%,22.62%,60.54%,12.21%,https://www.howbuy.com/fund/001628
001097,华泰柏瑞积极优选股票,01-26,0.9770,3.50%,11.66%,19.15%,18.42%,49.85%,5.74%,https://www.howbuy.com/fund/001097
005189,海富通量化前锋股票A,01-26,1.8493,4.81%,12.34%,19.10%,25.16%,58.29%,9.69%,https://www.howbuy.com/fund/005189
161629,融通中证精准医疗指数(LOF),01-26,1.4635,10.15%,11.14%,19.08%,19.66%,52.77%,9.73%,https://www.howbuy.com/fund/161629
005188,海富通量化前锋股票C,01-26,1.8631,4.80%,12.31%,18.99%,24.91%,57.66%,9.66%,https://www.howbuy.com/fund/005188
001974,景顺长城量化新动力股票,01-26,2.4860,2.81%,11.28%,18.95%,23.80%,56.75%,7.67%,https://www.howbuy.com/fund/001974
006193,鑫元核心资产股票A,01-26,1.6788,2.82%,11.64%,18.94%,24.66%,48.86%,7.53%,https://www.howbuy.com/fund/006193
009551,汇添富开放中国优势6个月股票C,01-26,1.2102,2.52%,9.96%,18.92%,22.09%,--,6.34%,https://www.howbuy.com/fund/009551
004616,中欧电子信息产业沪港深A,01-26,2.4081,0.53%,12.01%,18.80%,18.92%,51.10%,7.62%,https://www.howbuy.com/fund/004616
000729,建信中小盘先锋股票,01-26,2.6280,1.90%,7.40%,18.75%,31.20%,75.55%,4.04%,https://www.howbuy.com/fund/000729
006194,鑫元核心资产股票C,01-26,1.6592,2.81%,11.56%,18.70%,24.16%,47.60%,7.48%,https://www.howbuy.com/fund/006194
000411,景顺长城优质成长股票,01-26,1.9080,2.64%,11.71%,18.66%,23.42%,48.83%,7.86%,https://www.howbuy.com/fund/000411
