基金代码,基金名称,日期,净值,近一周,近一月,近三月,近半年,近一年,今年以来,基金的详细链接
150270,招商中证白酒指数分级B,12-31,1.8512,12.69%,44.31%,100.45%,171.77%,259.17%,259.17%,https://www.howbuy.com/fund/150270
150212,富国中证新能源汽车指数B,12-31,1.1210,9.90%,39.32%,92.92%,132.06%,205.10%,205.10%,https://www.howbuy.com/fund/150212
150230,鹏华酒分级B,12-31,1.1280,14.05%,40.50%,83.71%,153.38%,259.29%,259.29%,https://www.howbuy.com/fund/150230
150197,国泰国证有色金属行业B,12-31,1.1504,8.94%,9.85%,77.97%,125.79%,87.39%,87.39%,https://www.howbuy.com/fund/150197
150151,信诚中证800有色指数分级B,12-31,1.5920,7.79%,8.23%,66.88%,111.14%,85.98%,85.98%,https://www.howbuy.com/fund/150151
150252,招商中证煤炭等权分级B,12-31,1.1732,4.13%,14.97%,66.55%,137.92%,63.95%,63.95%,https://www.howbuy.com/fund/150252
150023,申万菱信深证成指分级进取,12-31,0.4034,15.69%,23.14%,54.62%,123.37%,303.40%,303.40%,https://www.howbuy.com/fund/150023
150018,银华稳进,12-31,1.5540,48.85%,49.28%,50.29%,52.05%,55.40%,55.40%,https://www.howbuy.com/fund/150018
150238,鹏华环保分级B,12-31,1.3360,5.78%,28.96%,48.94%,103.04%,142.03%,142.03%,https://www.howbuy.com/fund/150238
150290,中融中证煤炭指数分级B,12-31,0.9450,3.05%,3.50%,48.12%,101.92%,26.85%,26.85%,https://www.howbuy.com/fund/150290
150206,鹏华中证国防指数分级B,12-31,1.7640,13.15%,33.94%,46.03%,149.15%,247.24%,247.24%,https://www.howbuy.com/fund/150206
150199,国泰国证食品饮料分级B,12-31,1.6790,9.85%,29.74%,45.62%,103.33%,185.00%,185.00%,https://www.howbuy.com/fund/150199
150322,富国中证煤炭指数分级B,12-31,1.1190,1.54%,1.08%,39.88%,91.28%,25.59%,25.59%,https://www.howbuy.com/fund/150322
150316,富国中证工业4.0指数分级B,12-31,1.1260,8.79%,19.15%,34.53%,46.32%,129.30%,129.30%,https://www.howbuy.com/fund/150316
150187,申万菱信中证军工分级B,12-31,1.4392,12.89%,25.93%,34.08%,109.25%,149.35%,149.35%,https://www.howbuy.com/fund/150187
150182,富国中证军工指数分级B,12-31,1.5000,12.36%,24.48%,31.69%,97.69%,126.80%,126.80%,https://www.howbuy.com/fund/150182
150304,华安创业板50指数分级B,12-31,1.9638,8.32%,22.67%,31.30%,52.61%,167.14%,167.14%,https://www.howbuy.com/fund/150304
150101,鹏华资源分级B,12-31,1.4910,3.97%,-0.53%,31.25%,57.28%,25.82%,25.82%,https://www.howbuy.com/fund/150101
150176,银华恒生国企分级(QDII)B,12-31,0.9248,16.21%,11.26%,28.82%,14.97%,-8.77%,-8.77%,https://www.howbuy.com/fund/150176
150052,信诚沪深300指数分级B,12-31,1.4320,7.43%,9.65%,26.73%,66.32%,70.88%,70.88%,https://www.howbuy.com/fund/150052
502015,长盛中证申万一带一路B,12-31,1.8380,5.69%,8.24%,26.58%,58.31%,41.60%,41.60%,https://www.howbuy.com/fund/502015
150153,富国创业板指数分级B,12-31,1.4420,8.67%,22.20%,25.72%,37.73%,120.15%,120.15%,https://www.howbuy.com/fund/150153
150244,鹏华创业板分级B,12-31,1.5460,8.19%,20.97%,25.49%,43.81%,125.44%,125.44%,https://www.howbuy.com/fund/150244
150210,富国中证国企改革分级B,12-31,1.2160,8.09%,8.67%,23.58%,51.24%,54.71%,54.71%,https://www.howbuy.com/fund/150210
150300,华安中证银行指数分级B,12-31,0.8398,5.08%,-6.72%,23.08%,48.27%,4.48%,4.48%,https://www.howbuy.com/fund/150300
150228,鹏华银行分级B,12-31,0.9280,4.86%,-6.45%,19.74%,31.44%,-4.72%,-4.72%,https://www.howbuy.com/fund/150228
150262,华宝中证医疗指数分级B,12-31,1.6288,6.10%,27.89%,19.54%,27.36%,166.79%,166.79%,https://www.howbuy.com/fund/150262
150274,鹏华一带一路分级B,12-31,1.7670,4.19%,1.96%,18.75%,54.05%,39.46%,39.46%,https://www.howbuy.com/fund/150274
150250,招商中证银行指数分级B,12-31,1.3120,4.27%,-4.79%,18.45%,33.37%,4.93%,4.93%,https://www.howbuy.com/fund/150250
150016,兴全合润分级混合A,12-31,1.6504,3.58%,7.41%,17.78%,36.43%,65.04%,65.04%,https://www.howbuy.com/fund/150016
150017,兴全合润分级混合B,12-31,2.2281,3.58%,7.41%,17.78%,36.43%,80.63%,80.63%,https://www.howbuy.com/fund/150017
150131,国泰国证医药卫生分级B,12-31,0.9364,5.80%,32.09%,17.18%,20.17%,114.36%,114.36%,https://www.howbuy.com/fund/150131
150330,方正富邦保险主题分级B,12-31,1.0140,6.62%,-5.32%,16.69%,48.49%,15.01%,15.01%,https://www.howbuy.com/fund/150330
150288,中融国证钢铁行业分级B,12-31,0.8580,0.70%,-5.61%,16.42%,32.82%,15.63%,15.63%,https://www.howbuy.com/fund/150288
150284,申万中证申万医药生物B,12-31,1.1239,5.00%,26.42%,15.50%,30.08%,143.72%,143.72%,https://www.howbuy.com/fund/150284
502025,鹏华钢铁分级B,12-31,1.6030,0.82%,-3.72%,15.16%,32.48%,-8.17%,-8.17%,https://www.howbuy.com/fund/502025
150158,信诚中证800金融指数分级B,12-31,1.2980,7.90%,-3.21%,12.67%,42.01%,12.09%,12.09%,https://www.howbuy.com/fund/150158
150246,鹏华互联网分级B,12-31,0.9820,8.99%,10.09%,11.59%,12.82%,82.05%,82.05%,https://www.howbuy.com/fund/150246
150195,富国中证移动互联网分级B,12-31,0.9340,9.24%,9.88%,10.40%,6.74%,75.00%,75.00%,https://www.howbuy.com/fund/150195
150149,信诚中证800医药指数分级B,12-31,1.7560,3.72%,17.93%,8.40%,22.80%,128.65%,128.65%,https://www.howbuy.com/fund/150149
150029,信诚中证500指数B,12-31,1.7880,3.95%,2.64%,6.68%,22.38%,49.62%,49.62%,https://www.howbuy.com/fund/150029
502055,长盛中证证券公司分级B,12-31,1.1960,15.33%,1.18%,5.65%,60.54%,49.87%,49.87%,https://www.howbuy.com/fund/502055
150178,鹏华证券保险分级B,12-31,0.8440,14.21%,-2.31%,3.94%,26.90%,14.03%,14.03%,https://www.howbuy.com/fund/150178
150302,华安中证全指证券公司B,12-31,1.4216,13.38%,0.16%,2.74%,45.63%,42.33%,42.33%,https://www.howbuy.com/fund/150302
150180,鹏华信息分级B,12-31,1.0930,6.12%,0.92%,1.96%,2.34%,49.97%,49.97%,https://www.howbuy.com/fund/150180
150224,富国证券指数分级B,12-31,1.2690,14.63%,0.24%,1.85%,39.45%,29.09%,29.09%,https://www.howbuy.com/fund/150224
150321,富国中证煤炭指数分级A,12-31,1.0050,0.10%,0.48%,1.53%,3.20%,6.48%,6.48%,https://www.howbuy.com/fund/150321
150236,鹏华证券分级B,12-31,1.4260,13.44%,0.00%,1.49%,42.32%,38.72%,38.72%,https://www.howbuy.com/fund/150236
150223,富国证券指数分级A,12-31,1.0030,0.20%,0.52%,1.48%,3.05%,6.03%,6.03%,https://www.howbuy.com/fund/150223
150201,招商中证全指证券公司B,12-31,1.5526,13.19%,0.09%,1.38%,36.49%,27.74%,27.74%,https://www.howbuy.com/fund/150201
150130,国泰国证医药卫生分级A,12-31,1.0226,0.11%,0.46%,1.38%,2.77%,5.60%,5.60%,https://www.howbuy.com/fund/150130
150261,华宝中证医疗指数分级A,12-31,1.0024,0.10%,0.47%,1.37%,2.76%,5.58%,5.58%,https://www.howbuy.com/fund/150261
150198,国泰国证食品饮料分级A,12-31,1.0262,0.10%,0.46%,1.36%,2.77%,5.59%,5.59%,https://www.howbuy.com/fund/150198
150301,华安中证全指证券公司A,12-31,1.0024,0.10%,0.45%,1.34%,2.71%,5.52%,5.52%,https://www.howbuy.com/fund/150301
150299,华安中证银行指数分级A,12-31,1.0024,0.10%,0.45%,1.34%,2.71%,5.52%,5.52%,https://www.howbuy.com/fund/150299
150303,华安创业板50指数分级A,12-31,1.0024,0.10%,0.45%,1.34%,2.71%,5.51%,5.51%,https://www.howbuy.com/fund/150303
150196,国泰国证有色金属行业A,12-31,1.0548,0.09%,0.44%,1.33%,2.70%,5.51%,5.51%,https://www.howbuy.com/fund/150196
150117,国泰国证房地产指数分级A,12-31,1.0548,0.09%,0.44%,1.33%,2.70%,5.51%,5.51%,https://www.howbuy.com/fund/150117
150152,富国创业板指数分级A,12-31,1.0260,0.10%,0.39%,1.28%,2.50%,5.02%,5.02%,https://www.howbuy.com/fund/150152
150289,中融中证煤炭指数分级A,12-31,1.0020,0.10%,0.42%,1.28%,2.66%,5.42%,5.42%,https://www.howbuy.com/fund/150289
150287,中融国证钢铁行业分级A,12-31,1.0020,0.10%,0.42%,1.28%,2.66%,5.42%,5.42%,https://www.howbuy.com/fund/150287
150211,富国中证新能源汽车指数A,12-31,1.0010,0.10%,0.37%,1.24%,2.44%,5.02%,5.02%,https://www.howbuy.com/fund/150211
150245,鹏华互联网分级A,12-31,1.0080,0.10%,0.40%,1.22%,2.31%,4.54%,4.54%,https://www.howbuy.com/fund/150245
150315,富国中证工业4.0指数分级A,12-31,1.0040,0.10%,0.40%,1.19%,2.30%,4.49%,4.49%,https://www.howbuy.com/fund/150315
150237,鹏华环保分级A,12-31,1.0080,0.10%,0.40%,1.19%,2.27%,4.50%,4.50%,https://www.howbuy.com/fund/150237
150177,鹏华证券保险分级A,12-31,1.0220,0.10%,0.39%,1.19%,2.35%,4.60%,4.60%,https://www.howbuy.com/fund/150177
150235,鹏华证券分级A,12-31,1.0080,0.10%,0.40%,1.19%,2.27%,4.50%,4.50%,https://www.howbuy.com/fund/150235
150227,鹏华银行分级A,12-31,1.0080,0.10%,0.40%,1.19%,2.27%,4.50%,4.50%,https://www.howbuy.com/fund/150227
150229,鹏华酒分级A,12-31,1.0020,0.10%,0.38%,1.17%,2.32%,4.56%,4.56%,https://www.howbuy.com/fund/150229
150243,鹏华创业板分级A,12-31,1.0040,0.10%,0.38%,1.17%,2.28%,4.55%,4.55%,https://www.howbuy.com/fund/150243
502014,长盛中证申万一带一路A,12-31,1.0040,0.10%,0.40%,1.17%,2.45%,5.00%,5.00%,https://www.howbuy.com/fund/502014
502054,长盛中证证券公司分级A,12-31,1.0040,0.10%,0.40%,1.17%,2.45%,5.00%,5.00%,https://www.howbuy.com/fund/502054
150028,信诚中证500指数A,12-31,1.0430,0.10%,0.38%,1.16%,2.36%,4.73%,4.73%,https://www.howbuy.com/fund/150028
150329,方正富邦保险主题分级A,12-31,1.0020,0.10%,0.36%,1.16%,2.30%,4.54%,4.54%,https://www.howbuy.com/fund/150329
150307,富国中证体育产业分级A,12-31,1.0040,0.10%,0.39%,1.16%,2.25%,4.49%,4.49%,https://www.howbuy.com/fund/150307
150181,富国中证军工指数分级A,12-31,1.0020,0.10%,0.35%,1.15%,2.28%,4.52%,4.52%,https://www.howbuy.com/fund/150181
150194,富国中证移动互联网分级A,12-31,1.0020,0.10%,0.35%,1.15%,2.28%,4.53%,4.53%,https://www.howbuy.com/fund/150194
150269,招商中证白酒指数分级A,12-31,1.0020,0.09%,0.39%,1.14%,2.27%,4.56%,4.56%,https://www.howbuy.com/fund/150269
150186,申万菱信中证军工分级A,12-31,1.0194,0.09%,0.38%,1.13%,2.33%,4.56%,4.56%,https://www.howbuy.com/fund/150186
150271,招商国证生物医药分级A,12-31,1.0020,0.09%,0.39%,1.13%,2.28%,4.59%,4.59%,https://www.howbuy.com/fund/150271
150207,招商沪深300地产等权重A,12-31,1.0020,0.09%,0.38%,1.13%,2.27%,4.57%,4.57%,https://www.howbuy.com/fund/150207
150283,申万中证申万医药生物A,12-31,1.0237,0.09%,0.38%,1.13%,2.27%,4.58%,4.58%,https://www.howbuy.com/fund/150283
150309,信诚中证信息安全分级A,12-31,1.0030,0.10%,0.34%,1.12%,2.21%,4.53%,4.53%,https://www.howbuy.com/fund/150309
150171,申万菱信申万证券行业A,12-31,1.0358,0.09%,0.38%,1.11%,2.24%,4.52%,4.52%,https://www.howbuy.com/fund/150171
150249,招商中证银行指数分级A,12-31,1.0020,0.09%,0.37%,1.11%,2.23%,4.52%,4.52%,https://www.howbuy.com/fund/150249
150251,招商中证煤炭等权分级A,12-31,1.0020,0.09%,0.37%,1.11%,2.22%,4.52%,4.52%,https://www.howbuy.com/fund/150251
150200,招商中证全指证券公司A,12-31,1.0020,0.09%,0.37%,1.11%,2.22%,4.52%,4.52%,https://www.howbuy.com/fund/150200
150051,信诚沪深300指数分级A,12-31,1.0020,0.10%,0.33%,1.11%,2.19%,4.54%,4.54%,https://www.howbuy.com/fund/150051
150150,信诚中证800有色指数分级A,12-31,1.0020,0.10%,0.43%,1.11%,2.29%,4.74%,4.74%,https://www.howbuy.com/fund/150150
150157,信诚中证800金融指数分级A,12-31,1.0020,0.10%,0.43%,1.10%,2.29%,4.74%,4.74%,https://www.howbuy.com/fund/150157
150148,信诚中证800医药指数分级A,12-31,1.0020,0.10%,0.43%,1.10%,2.29%,4.74%,4.74%,https://www.howbuy.com/fund/150148
150173,信诚中证TMT产业主题分级A,12-31,1.0020,0.10%,0.42%,1.10%,2.20%,4.57%,4.57%,https://www.howbuy.com/fund/150173
502024,鹏华钢铁分级A,12-31,1.0150,0.10%,0.40%,1.10%,2.27%,4.55%,4.55%,https://www.howbuy.com/fund/502024
150277,鹏华高铁分级A,12-31,1.0150,0.10%,0.40%,1.10%,2.28%,4.50%,4.50%,https://www.howbuy.com/fund/150277
150273,鹏华一带一路分级A,12-31,1.0150,0.10%,0.40%,1.10%,2.28%,4.50%,4.50%,https://www.howbuy.com/fund/150273
150209,富国中证国企改革分级A,12-31,1.0020,0.10%,0.42%,1.10%,2.28%,4.53%,4.53%,https://www.howbuy.com/fund/150209
150205,鹏华中证国防指数分级A,12-31,1.0040,0.10%,0.40%,1.08%,2.26%,4.50%,4.50%,https://www.howbuy.com/fund/150205
150203,鹏华传媒分级A,12-31,1.0040,0.10%,0.40%,1.08%,2.26%,4.50%,4.50%,https://www.howbuy.com/fund/150203
150179,鹏华信息分级A,12-31,1.0390,0.10%,0.39%,1.07%,2.26%,4.53%,4.53%,https://www.howbuy.com/fund/150179
150192,鹏华地产分级A,12-31,1.0450,0.10%,0.38%,1.06%,2.25%,4.50%,4.50%,https://www.howbuy.com/fund/150192
150100,鹏华资源分级A,12-31,1.0450,0.10%,0.38%,1.06%,2.25%,4.50%,4.50%,https://www.howbuy.com/fund/150100
150311,信诚中证智能家居分级A,12-31,1.0030,0.10%,0.37%,1.06%,2.25%,4.53%,4.53%,https://www.howbuy.com/fund/150311
150022,申万菱信深证成指分级收益,12-31,1.0990,0.08%,0.35%,1.04%,2.10%,9.82%,9.82%,https://www.howbuy.com/fund/150022
150278,鹏华高铁分级B,12-31,0.6330,2.76%,-8.39%,0.16%,17.01%,0.32%,0.32%,https://www.howbuy.com/fund/150278
150174,信诚中证TMT产业主题分级B,12-31,0.8220,6.89%,-2.84%,-2.49%,-0.48%,22.54%,22.54%,https://www.howbuy.com/fund/150174
150272,招商国证生物医药分级B,12-31,0.8792,2.17%,24.29%,-2.95%,-1.11%,130.44%,130.44%,https://www.howbuy.com/fund/150272
150172,申万菱信申万证券行业B,12-31,1.0666,13.12%,-2.74%,-3.81%,37.04%,16.63%,16.63%,https://www.howbuy.com/fund/150172
150312,信诚中证智能家居分级B,12-31,0.8530,5.31%,-5.54%,-6.06%,-8.08%,12.19%,12.19%,https://www.howbuy.com/fund/150312
150175,银华恒生国企分级(QDII)A,12-31,0.9248,-7.81%,-7.52%,-6.77%,-5.61%,-3.29%,-3.29%,https://www.howbuy.com/fund/150175
150310,信诚中证信息安全分级B,12-31,0.8530,10.21%,-1.95%,-7.28%,-16.29%,8.86%,8.86%,https://www.howbuy.com/fund/150310
150193,鹏华地产分级B,12-31,1.1650,2.55%,-12.99%,-9.69%,8.07%,-7.17%,-7.17%,https://www.howbuy.com/fund/150193
150118,国泰国证房地产指数分级B,12-31,0.9796,2.60%,-13.23%,-12.68%,-2.65%,-16.08%,-16.08%,https://www.howbuy.com/fund/150118
